,FAM,live_basal_area,LAI_sum,LAI_win,RWC,aspect_mean,aspect_std,canopy_height,CWD,elevation_mean,elevation_std,forest_cover,ppt_sum,ppt_win,tmax_sum,tmax_win,tmean_sum,tmean_win,vpdmax_sum,vpdmax_win,EVP_sum,PEVAP_sum,EVP_win,PEVAP_win,vsm_sum,vsm_win,location,silt_fraction,sand_fraction,twi_mean,twi_std,ndwi_sum,ndwi_win
2,0.00459574655754,4.87709428481,1.07509933775,0.872991169978,0.000465205996638,193.357804275,101.767914644,17.32,620.456,1052.64444444,307.656450214,0.783333,26.75,266.305555556,31.1111111111,14.9259259259,22.2314814815,8.48148148148,35.145531401,12.1320987654,138.0065,855.871,77.9185,390.7015,0.103314285714,0.1174,4.0,0.1,0.82,374.669230769,173.114376973,-0.113030691883,-0.0857451662844
3,0.00331915035761,5.45390586967,0.976203090508,0.904116997792,0.987689585709,193.357804275,101.767914644,17.32,821.987944444,1052.64444444,307.656450214,0.783333,29.5555555556,188.861111111,31.9722222222,16.6481481481,23.3148148148,9.46296296296,36.8399758454,14.6611721612,79.37175,857.565,88.5905,435.98325,0.129547368421,0.226014285714,4.0,0.1,0.82,374.669230769,173.114376973,-0.130459004472,-0.094140498921
4,0.00229787327877,5.56056625062,0.843609271523,0.762273730684,0.676445148928,193.357804275,101.767914644,17.32,956.017,1052.64444444,307.656450214,0.783333,59.8611111111,145.555555556,30.8888888889,15.8148148148,22.5925925926,8.91666666667,34.5839371981,14.1675925926,52.25125,803.33025,76.10025,428.5235,0.083085106383,0.1061275,4.0,0.1,0.82,374.669230769,173.114376973,-0.142759728547,-0.118893565718
5,0.00191489444851,4.94977077539,0.737969094923,0.732086092715,0.678767868605,193.357804275,101.767914644,17.32,1052.6337,1052.64444444,307.656450214,0.783333,33.4722222222,118.666666667,30.25,19.2222222222,22.3425925926,11.9814814815,32.0102657005,18.3490740741,45.1275,785.36425,62.93525,475.04275,0.0888434782609,0.103086666667,4.0,0.1,0.82,374.669230769,173.114376973,-0.159343283441,-0.123338394868
6,0.00446808714561,5.33500008308,0.811655629139,0.781357615894,0.787935693447,193.357804275,101.767914644,17.32,917.6024,1052.64444444,307.656450214,0.783333,86.6666666667,118.444444444,29.8148148148,18.7222222222,22.0555555556,12.0277777778,30.8336352657,17.1836419753,99.025,814.1015,98.2455,433.84725,0.0912547169811,0.0934645833333,4.0,0.1,0.82,374.669230769,173.114376973,-0.147726473375,-0.113132502933
8,0.000141781825376,3.4971342921,0.958588888889,0.985533333333,0.0675411952676,192.879837931,101.729719501,13.12,862.582,333.022222222,176.853886822,0.705309,2.38888888889,267.861111111,29.9259259259,19.5,22.3703703704,13.2407407407,27.1657608696,14.062037037,99.22525,610.74725,76.40875,267.3395,0.157304166667,0.1784,8.0,0.31,0.56,472.753869969,263.687936707,-0.0955398521801,-0.0652368484059
9,0.000141781825376,3.24217880824,1.00293333333,1.06104444444,0.290856592337,192.879837931,101.729719501,13.12,771.374,333.022222222,176.853886822,0.705309,5.72222222222,199.666666667,30.1203703704,18.9814814815,22.9444444444,12.75,27.0123792271,13.925308642,115.412,617.47275,76.599,251.1805,0.132645833333,0.154867857143,8.0,0.31,0.56,472.753869969,263.687936707,-0.0962289863785,-0.0602004025606
10,0.000141781825376,3.24217880824,0.895222222222,0.990233333333,0.72398201115,192.879837931,101.729719501,13.12,1007.5,333.022222222,176.853886822,0.705309,11.2222222222,127.861111111,31.6203703704,20.1111111111,24.3703703704,13.4259259259,31.6751207729,16.2310744811,59.56225,648.42125,57.72575,311.1785,0.116425714286,0.245661538462,8.0,0.31,0.56,472.753869969,263.687936707,-0.114635581607,-0.0774336282606
11,0.000141781825376,3.24217880824,0.821855555556,0.884111111111,0.873686683069,192.879837931,101.729719501,13.12,1136.883,333.022222222,176.853886822,0.705309,9.22222222222,104.916666667,30.5555555556,19.2407407407,23.4907407407,12.8148148148,28.3792270531,15.700617284,31.338,597.2805,56.568,311.49,0.11332,0.122662222222,8.0,0.31,0.56,472.753869969,263.687936707,-0.124442971277,-0.0872432875465
12,0.000141781825376,3.24217880824,0.799244444444,0.672677777778,0.686555843171,192.879837931,101.729719501,13.12,1178.7275,333.022222222,176.853886822,0.705309,12.5277777778,110.583333333,31.1851851852,22.1296296296,24.2314814815,15.5648148148,29.9631642512,19.7151234568,35.1915,595.52275,44.5175,320.06025,0.116864912281,0.120802040816,8.0,0.31,0.56,472.753869969,263.687936707,-0.12770719759,-0.108146134621
