"","mean","sd"
"RWC",0.11575352146572,0.0647663282978277
"rwc_lai",0.105848715141986,0.0616727302508865
"elevation_mean",0.062475096336912,0.0249954165097899
"ppt_win",0.0583473030823839,0.0332676354027063
"elevation_std",0.0580295699710301,0.032688230070563
"vpdmax_win",0.052951013667314,0.0244479936896626
"EVP_win",0.0510259093112388,0.0220862793617414
"tmax_sum",0.0497799419428621,0.018261348120612
"CWD",0.0492577712614741,0.0225784205628029
"tmax_win",0.0489479273267377,0.0225195371495152
"tmean_win",0.0376942337141628,0.0177316979381657
"tmean_sum",0.0352781792748254,0.0120127307794398
"live_basal_area",0.0344553554744933,0.0190554223202898
"vpdmax_sum",0.0328997433743788,0.0138568966536636
"aspect_mean",0.0302828707468251,0.0151063608446892
"twi_std",0.02826593369031,0.0160400213563782
"twi_mean",0.0264004809322965,0.0174526038948819
"LAI_win",0.0258969850751129,0.0121068500518912
"ppt_sum",0.0253773753293342,0.0150954731002562
"ndwi_win",0.0249410037444347,0.0109253679978272
"PEVAP_win",0.0246045492206079,0.0110243519858113
"location",0.0243006274251062,0.0113633466436798
"EVP_sum",0.0234765103983454,0.0104994620986637
"aspect_std",0.0233766230370207,0.0102832630766018
"LAI_sum",0.0208241129685753,0.0100368761776239
"ndwi_sum",0.0207637271839998,0.00892761963993506
"PEVAP_sum",0.0191471620268109,0.00744199446804289
"canopy_height",0.0178260487919264,0.00893151388080683
"silt_fraction",0.0178048100662518,0.00779682618207376
"sand_fraction",0.0175763753397681,0.00701970538294319
"vsm_win",0.0171751448715133,0.00726361125675327
"vsm_sum",0.0171361706322594,0.0074134708155525
"forest_cover",0.0124324003398554,0.00569172686842853
