"","mean","sd"
"RWC",0.252774608462611,0.126292756815435
"EVP_win",0.14004608120894,0.0578780700384935
"elevation_mean",0.127621712721101,0.0418540033434426
"CWD",0.124045175307373,0.057874037320228
"elevation_std",0.108231427055744,0.0534930881933722
"ppt_sum",0.0878469788116414,0.0454535987763281
"aspect_mean",0.0661505955666494,0.0292570898731398
"location",0.0614611630243886,0.0272403349925683
"twi_mean",0.059048737782567,0.0301683883946653
"vsm_sum",0.0562780865067014,0.0230449314113464
"aspect_std",0.0485531727377092,0.0172539567352854
"canopy_height",0.038832494532181,0.0150839624968054
