location,x,y
0,-116.875,32.625
1,-116.625,32.625
2,-116.375,32.625
3,-116.875,32.875
4,-116.625,32.875
5,-116.375,32.875
6,-116.875,33.125
7,-116.625,33.125
8,-117.125,33.375
9,-116.875,33.375
10,-116.625,33.375
11,-117.125,33.625
12,-116.625,33.625
13,-116.875,33.875
14,-116.625,33.875
15,-117.625,34.125
16,-117.375,34.125
17,-117.125,34.125
18,-116.875,34.125
19,-119.875,34.375
20,-119.625,34.375
21,-118.125,34.375
22,-117.875,34.375
23,-117.625,34.375
24,-117.375,34.375
25,-117.125,34.375
26,-116.875,34.375
27,-120.375,34.625
28,-120.125,34.625
29,-119.875,34.625
30,-119.625,34.625
31,-119.375,34.625
32,-119.125,34.625
33,-118.875,34.625
34,-118.625,34.625
35,-118.375,34.625
36,-120.375,34.875
37,-120.125,34.875
38,-119.875,34.875
39,-119.625,34.875
40,-119.375,34.875
41,-119.125,34.875
42,-118.875,34.875
43,-118.625,34.875
44,-120.875,35.125
45,-120.625,35.125
46,-120.375,35.125
47,-120.125,35.125
48,-119.875,35.125
49,-118.875,35.125
50,-118.625,35.125
51,-118.375,35.125
52,-120.875,35.375
53,-120.375,35.375
54,-120.125,35.375
55,-118.875,35.375
56,-118.625,35.375
57,-118.375,35.375
58,-121.375,35.625
59,-121.125,35.625
60,-120.875,35.625
61,-120.625,35.625
62,-118.875,35.625
63,-118.625,35.625
64,-118.375,35.625
65,-118.125,35.625
66,-117.875,35.625
67,-121.375,35.875
68,-121.125,35.875
69,-120.875,35.875
70,-120.625,35.875
71,-120.375,35.875
72,-118.875,35.875
73,-118.625,35.875
74,-118.375,35.875
75,-118.125,35.875
76,-117.875,35.875
77,-121.625,36.125
78,-121.375,36.125
79,-121.125,36.125
80,-120.625,36.125
81,-120.375,36.125
82,-118.875,36.125
83,-118.625,36.125
84,-118.375,36.125
85,-118.125,36.125
86,-121.875,36.375
87,-121.625,36.375
88,-120.875,36.375
89,-120.625,36.375
90,-118.875,36.375
91,-118.625,36.375
92,-118.375,36.375
93,-118.125,36.375
94,-121.625,36.625
95,-121.375,36.625
96,-119.125,36.625
97,-118.875,36.625
98,-118.625,36.625
99,-118.375,36.625
100,-118.125,36.625
101,-117.875,36.625
102,-121.625,36.875
103,-119.375,36.875
104,-119.125,36.875
105,-118.875,36.875
106,-118.625,36.875
107,-118.375,36.875
108,-118.125,36.875
109,-117.875,36.875
110,-122.125,37.125
111,-121.875,37.125
112,-121.625,37.125
113,-121.375,37.125
114,-120.125,37.125
115,-119.875,37.125
116,-119.625,37.125
117,-119.375,37.125
118,-119.125,37.125
119,-118.875,37.125
120,-118.625,37.125
121,-118.375,37.125
122,-118.125,37.125
123,-122.125,37.375
124,-121.875,37.375
125,-121.625,37.375
126,-120.125,37.375
127,-119.875,37.375
128,-119.625,37.375
129,-119.375,37.375
130,-119.125,37.375
131,-118.875,37.375
132,-118.625,37.375
133,-118.375,37.375
134,-121.625,37.625
135,-120.625,37.625
136,-120.375,37.625
137,-120.125,37.625
138,-119.875,37.625
139,-119.625,37.625
140,-119.375,37.625
141,-119.125,37.625
142,-118.875,37.625
143,-118.625,37.625
144,-118.375,37.625
145,-122.625,37.875
146,-121.875,37.875
147,-120.625,37.875
148,-120.375,37.875
149,-120.125,37.875
150,-119.875,37.875
151,-119.625,37.875
152,-119.375,37.875
153,-119.125,37.875
154,-118.875,37.875
155,-118.625,37.875
156,-118.375,37.875
157,-122.625,38.125
158,-120.875,38.125
159,-120.625,38.125
160,-120.375,38.125
161,-120.125,38.125
162,-119.875,38.125
163,-119.625,38.125
164,-119.375,38.125
165,-119.125,38.125
166,-123.125,38.375
167,-122.875,38.375
168,-122.375,38.375
169,-120.875,38.375
170,-120.625,38.375
171,-120.375,38.375
172,-120.125,38.375
173,-119.875,38.375
174,-119.625,38.375
175,-119.375,38.375
176,-119.125,38.375
