,FAM,RWC,CWD,elevation_std,elevation_mean,ppt_sum,location,aspect_mean,aspect_std,vsm_sum,canopy_height,EVP_win,twi_mean
2,0.00459574655754,0.000465205996638,620.456,307.656450214,1052.64444444,26.75,4,193.357804275,101.767914644,0.103314285714,17.32,77.9185,374.669230769
3,0.00331915035761,0.987689585709,821.987944444,307.656450214,1052.64444444,29.5555555556,4,193.357804275,101.767914644,0.129547368421,17.32,88.5905,374.669230769
4,0.00229787327877,0.676445148928,956.017,307.656450214,1052.64444444,59.8611111111,4,193.357804275,101.767914644,0.083085106383,17.32,76.10025,374.669230769
5,0.00191489444851,0.678767868605,1052.6337,307.656450214,1052.64444444,33.4722222222,4,193.357804275,101.767914644,0.0888434782609,17.32,62.93525,374.669230769
6,0.00446808714561,0.787935693447,917.6024,307.656450214,1052.64444444,86.6666666667,4,193.357804275,101.767914644,0.0912547169811,17.32,98.2455,374.669230769
8,0.000141781825376,0.0675411952676,862.582,176.853886822,333.022222222,2.38888888889,8,192.879837931,101.729719501,0.157304166667,13.12,76.40875,472.753869969
9,0.000141781825376,0.290856592337,771.374,176.853886822,333.022222222,5.72222222222,8,192.879837931,101.729719501,0.132645833333,13.12,76.599,472.753869969
10,0.000141781825376,0.72398201115,1007.5,176.853886822,333.022222222,11.2222222222,8,192.879837931,101.729719501,0.116425714286,13.12,57.72575,472.753869969
11,0.000141781825376,0.873686683069,1136.883,176.853886822,333.022222222,9.22222222222,8,192.879837931,101.729719501,0.11332,13.12,56.568,472.753869969
12,0.000141781825376,0.686555843171,1178.7275,176.853886822,333.022222222,12.5277777778,8,192.879837931,101.729719501,0.116864912281,13.12,44.5175,472.753869969
13,0.000141781825376,0.733338553145,1132.766,176.853886822,333.022222222,64.2777777778,8,192.879837931,101.729719501,0.113080701754,13.12,70.28125,472.753869969
15,0.00138540459815,0.624569358479,762.185083333,493.216781051,2096.12111111,6.94444444444,18,183.635917282,106.327255375,0.05016,21.56,63.6935,276.068642746
17,0.00173175568049,0.416904852164,883.998104167,493.216781051,2096.12111111,36.7222222222,18,183.635917282,106.327255375,0.0483846153846,21.56,52.32525,276.068642746
18,0.000230900749559,0.259372949537,1004.81405128,493.216781051,2096.12111111,48.0277777778,18,183.635917282,106.327255375,0.0532770833333,21.56,54.234,276.068642746
19,0.00150085491413,0.290435578224,938.315108108,493.216781051,2096.12111111,57.75,18,183.635917282,106.327255375,0.05704,21.56,44.6255,276.068642746
20,0.0184720613087,0.0508095854953,888.485828571,493.216781051,2096.12111111,88.25,18,183.635917282,106.327255375,0.0495,21.56,82.354,276.068642746
35,0.000121257534608,0.0232790502927,967.4669375,399.06878185,738.184444444,1.41666666667,29,181.90534712,103.32661807,0.15765625,21.6,134.97525,345.46310832
36,0.00509281640062,0.197871927488,738.1138,399.06878185,738.184444444,0.388888888889,29,181.90534712,103.32661807,0.1672640625,21.6,129.03125,345.46310832
37,0.000363772630293,0.337308687914,665.072076923,399.06878185,738.184444444,1.80555555556,29,181.90534712,103.32661807,0.17815,21.6,123.77225,345.46310832
38,0.00666916453581,0.701123878635,969.898464286,399.06878185,738.184444444,2.13888888889,29,181.90534712,103.32661807,0.185471428571,21.6,82.32175,345.46310832
39,0.00206137816775,0.985767803745,1032.88327273,399.06878185,738.184444444,0.777777777778,29,181.90534712,103.32661807,0.191401694915,21.6,128.45125,345.46310832
40,0.00533533162864,0.814981448679,1160.70591667,399.06878185,738.184444444,0.416666666667,29,181.90534712,103.32661807,0.187313793103,21.6,83.089,345.46310832
41,0.0149146766421,0.598652065595,1091.8185625,399.06878185,738.184444444,15.5277777778,29,181.90534712,103.32661807,0.179655172414,21.6,120.4465,345.46310832
42,0.000324996819635,0.0159171429959,928.381025641,353.829813517,1082.58,0.527777777778,30,178.545478738,101.661388081,0.1657375,25.16,145.3745,344.168238994
43,0.0168998333598,0.166037648507,683.93752381,353.829813517,1082.58,0.5,30,178.545478738,101.661388081,0.1687921875,25.16,138.077,344.168238994
