,live_tree_density,LAI_sum,LAI_win,RWC,aspect_mean,aspect_std,canopy_height,cwd,dominant_leaf_habit,elevation_mean,elevation_std,forest_cover,ppt_sum,ppt_win,tmax_sum,tmax_win,tmean_sum,tmean_win,vpdmax_sum,vpdmax_win,EVP_sum,PEVAP_sum,EVP_win,PEVAP_win,vsm_sum,vsm_win
0,0.0,0.357124010554,0.69100703606,0.417551963048,185.15642428,104.880458913,6.52,1074.55,deciduous,317.206666667,196.575746102,0.88,0.866666666667,106.4,31.8,19.9666666667,24.2111111111,13.3777777778,31.9496376812,15.3281481481,44.61975,788.71,72.6305,434.85225,0.0786914893617,0.0959268292683
1,3.03857818755,0.439676781003,0.718744503078,0.0239103130669,185.15642428,104.880458913,6.52,837.31,deciduous,317.206666667,196.575746102,0.88,0.5,259.166666667,29.1333333333,19.0333333333,21.7777777778,13.0,26.6510869565,13.1188888889,80.05925,763.74125,79.9455,422.725,0.161471428571,0.2234
2,0.0,0.428331134565,0.730925681618,0.223007861562,185.15642428,104.880458913,6.52,687.217,deciduous,317.206666667,196.575746102,0.88,4.96666666667,180.866666667,29.6,18.5222222222,22.4,12.1777777778,26.9934782609,13.7751851852,92.106,776.57975,81.88725,422.305,0.222685714286,0.122584375
3,3.03857818755,0.399164467898,0.692139401935,0.96566962832,185.15642428,104.880458913,6.52,972.696,deciduous,317.206666667,196.575746102,0.88,7.86666666667,128.633333333,31.3111111111,19.7444444444,24.0444444444,12.9222222222,30.9887681159,15.6010989011,45.418,797.09675,59.19875,468.1915,0.264511111111,0.222932352941
4,0.0,0.344404133685,0.564632805629,0.741219705075,185.15642428,104.880458913,6.52,956.017,deciduous,317.206666667,196.575746102,0.88,7.43333333333,117.366666667,30.1666666667,19.0222222222,23.1888888889,12.4222222222,28.1438405797,14.9307407407,30.10075,743.93975,48.60625,460.287,0.2677,0.0934482758621
5,0.0,0.307222955145,0.334795514512,0.391570438799,185.15642428,104.880458913,6.52,1143.346,deciduous,317.206666667,196.575746102,0.88,12.4333333333,71.7,31.4333333333,21.8444444444,24.3222222222,14.9111111111,30.5663043478,18.7896296296,22.264,739.369,28.75525,479.8025,0.0688852941176,0.0877681818182
6,0.0,0.318931398417,0.580947669305,0.840070707541,185.15642428,104.880458913,6.52,917.6024,deciduous,317.206666667,196.575746102,0.88,53.6666666667,71.9,30.9888888889,22.3666666667,24.1444444444,15.6333333333,29.1847826087,19.58,55.851,750.5195,52.7505,467.745,0.25165,0.0785833333333
7,2.24018493091,0.496295074758,0.592051451187,0.417551963048,186.210146967,101.458651702,10.52,1074.55,deciduous,731.587777778,208.834879126,1.0,3.1,115.633333333,33.8888888889,18.7666666667,23.9666666667,11.1,41.2583333333,16.137037037,63.328,921.5955,82.6015,442.641,0.0786914893617,0.0959268292683
8,0.0,0.624230430959,0.621888742304,0.0614035087719,186.210146967,101.458651702,10.52,837.31,deciduous,731.587777778,208.834879126,1.0,1.0,323.3,31.7222222222,17.1888888889,21.9777777778,10.3333333333,34.9826086957,12.9303703704,120.584,881.176,77.8515,392.2935,0.0652666666667,0.2234
9,0.0,0.609894459103,0.670679419525,0.223007861562,186.210146967,101.458651702,10.52,687.217,deciduous,731.587777778,208.834879126,1.0,11.3333333333,212.3,32.5444444444,16.7666666667,22.7333333333,9.7,37.4315217391,13.3107407407,129.0785,879.879,76.251,416.9995,0.1551,0.122584375
10,2.36908930001,0.584124890062,0.692535180299,0.818698756943,186.210146967,101.458651702,10.52,950.226,deciduous,731.587777778,208.834879126,1.0,21.9,158.166666667,33.3333333333,18.2888888889,24.0,10.5444444444,39.0952898551,15.6615384615,70.0475,871.41,74.238,453.1255,0.264511111111,0.222932352941
11,0.0,0.495811345646,0.552946350044,1.0,186.210146967,101.458651702,10.52,956.017,deciduous,731.587777778,208.834879126,1.0,43.0666666667,134.766666667,32.2333333333,17.6444444444,23.2333333333,10.0333333333,36.4894927536,15.1966666667,50.637,829.8415,62.2925,446.8905,0.0902,0.0934482758621
12,0.0,0.443414687775,0.449373350923,0.391570438799,186.210146967,101.458651702,10.52,1143.346,deciduous,731.587777778,208.834879126,1.0,35.1,90.1333333333,32.2888888889,20.9888888889,23.3444444444,12.8,35.9278985507,19.8092592593,42.286,807.824,40.097,497.34,0.0688852941176,0.0877681818182
13,0.0,0.48172823219,0.615523306948,0.963281318875,186.210146967,101.458651702,10.52,917.6024,deciduous,731.587777778,208.834879126,1.0,54.2666666667,98.2333333333,31.8111111111,20.8666666667,23.0111111111,13.0777777778,34.2836956522,19.46,72.1795,835.068,85.017,454.347,0.0932,0.0785833333333
14,4.67996706569,0.472295514512,0.543799472296,0.417551963048,185.468600353,93.5534461322,4.12,1035.80825,deciduous,1034.63666667,120.243476099,1.0,5.88,113.56,33.44,16.8,22.8,9.17333333333,41.277826087,14.9733333333,68.4155,1005.4835,53.3635,454.426,0.0786914893617,0.0959268292683
