"","mean","sd"
"RWC",0.113261252838789,0.00501076180089264
"elevation_std",0.0873600716192444,0.00388944700859752
"EVP_win",0.0831440683645487,0.00226774561037165
"cwd",0.0799101467060207,0.0031167885746876
"elevation_mean",0.0782721373586772,0.00174737546040269
"live_basal_area",0.0771881124050644,0.00267445210033193
"vpdmax_win",0.071199954503331,0.0021792596508209
"tmax_win",0.067325279505656,0.00392302710815185
"tmax_sum",0.0621352431329919,0.00199377318977108
"ppt_win",0.0615209917819831,0.00336009415803882
"aspect_mean",0.059619831903188,0.00300484101844785
"tmean_win",0.0584887021909962,0.0025660611227737
"LAI_win",0.0546196997741897,0.00273078645171777
"vpdmax_sum",0.0496584939220691,0.0019437967418172
"canopy_height",0.0463619596765933,0.0019136072558718
"PEVAP_win",0.0456390651265025,0.00241978558930509
"LAI_sum",0.0442356893586073,0.00168109374831251
"PEVAP_sum",0.0416244600038642,0.00231823498139708
"tmean_sum",0.040640944235065,0.0018250890396074
"vsm_win",0.0396826157061936,0.00114946362840923
"ppt_sum",0.0387749706216905,0.00153219215132131
"EVP_sum",0.0371595373953557,0.00283961941402561
"vsm_sum",0.0365825423706289,0.00198051124640423
"aspect_std",0.0322140353952091,0.00147887125692809
"forest_cover",0.0168360028392619,0.00135676502443448
"dominant_leaf_habit",0.00428764167287665,0.00048926414097786
