"","mean","sd"
"RWC",0.163991561847385,0.0891097178916519
"elevation_mean",0.079751729945497,0.0321447927651531
"elevation_std",0.0723744752029151,0.0382995705029659
"EVP_win",0.0619409703490888,0.0278943426525165
"vpdmax_win",0.0611535560065816,0.0290440384783471
"ppt_win",0.0606821201117815,0.035600132768464
"tmax_sum",0.0593330489860392,0.023023513087063
"tmax_win",0.0562770883472323,0.0261014621941722
"CWD",0.0555268946121111,0.0267807295883583
"tmean_win",0.0433368768338112,0.0192410728371517
"live_basal_area",0.0433288596098376,0.0223446549002234
"tmean_sum",0.0429263678626934,0.0151231407945831
"vpdmax_sum",0.0405794840909429,0.0150899034097475
"aspect_mean",0.0352710409086778,0.0175988173140855
"location",0.0312007109364434,0.0143097924973657
"ppt_sum",0.0310332191762248,0.0175201914034386
"LAI_win",0.0292427216594032,0.0140188650806292
"PEVAP_win",0.0292097519803545,0.012119575821233
"aspect_std",0.0278348697810749,0.0127787641931496
"EVP_sum",0.0274016704718433,0.0115894695245563
"PEVAP_sum",0.0246596316142375,0.00912819008888212
"LAI_sum",0.0245567190199842,0.0116756968592357
"canopy_height",0.0231881625352758,0.0110337663598247
"vsm_win",0.0216369198736706,0.0091000687796059
"vsm_sum",0.0196977511852841,0.00878419083650152
"forest_cover",0.0056108331824899,0.00277282892212454
