"","mean","sd"
"RWC",0.150932820837232,0.0870898390373542
"ppt_win",0.0677647220813468,0.0424868277842375
"elevation_std",0.0677216615055746,0.0375792583811922
"elevation_mean",0.0652918505723114,0.0279622014951145
"EVP_win",0.0612117632609927,0.0285359134504949
"vpdmax_win",0.0596754406308695,0.0300206388563222
"CWD",0.0590870933095707,0.0297733053441036
"tmax_win",0.0559681886864219,0.0268036026130482
"tmax_sum",0.0554510344128287,0.0216272170566988
"tmean_win",0.0431239934059319,0.0202232742123232
"live_basal_area",0.0423420728262161,0.0235011181302937
"tmean_sum",0.0419951107393318,0.0161331918690054
"vpdmax_sum",0.0410160227273366,0.0144377977067652
"aspect_mean",0.0333653413370216,0.0186502934433199
"ppt_sum",0.0322050584162217,0.0213679083384998
"LAI_win",0.0312414926906634,0.015867064320584
"PEVAP_win",0.0297393603157385,0.0132830908178703
"EVP_sum",0.0275069313541909,0.0127035058420686
"location",0.0268753361696565,0.0131509318601764
"LAI_sum",0.0246724545819656,0.0123943915662056
"aspect_std",0.0245250586296879,0.0108160187756638
"PEVAP_sum",0.0236880632327702,0.00861570746016344
"twi",0.0230348240882572,0.0112438041904538
"vsm_win",0.0210014889508638,0.0099804667493483
"canopy_height",0.020590266912589,0.0108730182245623
"silt_fraction",0.0203741891714789,0.00924876835825539
"sand_fraction",0.0189564614950145,0.00805875328263634
"vsm_sum",0.0189068350129505,0.00922560082661109
"forest_cover",0.00500795204176896,0.00248918297517177
