"","mean","sd"
"RWC",0.138062944100651,0.078217832429312
"elevation_mean",0.0615898850945247,0.0253191671165195
"ppt_win",0.0606659628741364,0.0350647631156889
"EVP_win",0.0586766210200069,0.0262283797713294
"vpdmax_win",0.057216054067067,0.0280067241763365
"elevation_std",0.0562541675292242,0.0325757866313187
"CWD",0.0538434766672844,0.0263303382237544
"tmax_win",0.0528233307795901,0.0257191066599511
"tmax_sum",0.0520807542215446,0.0212134336747253
"tmean_win",0.0411659564493278,0.020540400952976
"tmean_sum",0.0391108537522051,0.0148864264876394
"live_basal_area",0.0378599764185522,0.0212192655133495
"vpdmax_sum",0.0358396252567775,0.0143325742611722
"aspect_mean",0.0316772374038312,0.0181034595514913
"twi_std",0.0294938324527709,0.0168443773388466
"LAI_win",0.0277471267168958,0.0147731722222105
"PEVAP_win",0.0276576889722513,0.0130761376899302
"ppt_sum",0.0273636527079994,0.0175895435411107
"twi_mean",0.0267325813646292,0.0170791311915814
"ndwi_win",0.0264839039123908,0.0123983681200939
"EVP_sum",0.0246812104491883,0.0119864027663683
"aspect_std",0.0238032358322889,0.0101809240736892
"location",0.0233781635633737,0.0106092215169023
"ndwi_sum",0.0218392341859424,0.00979730293479613
"LAI_sum",0.0217756549823647,0.0108351197363179
"PEVAP_sum",0.0206025957320281,0.00791171056105996
"vsm_win",0.0193558769536786,0.00894865616957176
"canopy_height",0.0190957228164592,0.0100263338458045
"silt_fraction",0.0181680007264058,0.00879475538969938
"vsm_sum",0.0172361901309457,0.00753479127703693
"sand_fraction",0.0170088266684589,0.00762027278914322
"forest_cover",0.0132363013908141,0.00586556758003845
