"","mean","sd"
"RWC",0.171908728138421,0.093929131685462
"elevation_std",0.0800175458058106,0.0497884723636942
"ppt_win",0.0562337184653269,0.032851651394765
"elevation_mean",0.0508516863275412,0.0225096756084173
"CWD",0.0495725519972127,0.0245534043565604
"EVP_win",0.0463147267381519,0.0232757153286672
"vpdmax_win",0.0407522112035793,0.0220330239472355
"tmax_sum",0.0403341322177366,0.0155010536206899
"aspect_mean",0.0400666168422262,0.0234094753270012
"tmax_win",0.039859112900429,0.0216297173930742
"live_basal_area",0.039177466328652,0.0216700233837721
"RWC_lag_1",0.0349877472519497,0.0198766326757777
"location",0.0342199829475619,0.018318570959892
"vpdmax_sum",0.0315278459106471,0.0128173694181179
"tmean_sum",0.0293162168212265,0.00984711405223627
"aspect_std",0.028816034511596,0.0141267596739342
"tmean_win",0.0282835100171292,0.0142256811026652
"ppt_sum",0.0272265145497806,0.0195206063547161
"LAI_win",0.0264077576584238,0.0133020974410411
"PEVAP_win",0.0234556459471677,0.0107233224850705
"EVP_sum",0.0232054814818619,0.0104117429288892
"PEVAP_sum",0.0221053330090499,0.00938583967204717
"canopy_height",0.0215159682385341,0.0111017664821416
"LAI_sum",0.0214813370894239,0.0121899730540611
"RWC_lag_2",0.0214003167445681,0.0135871106606669
"vsm_win",0.0171114725972981,0.00812061281288046
"vsm_sum",0.0164715127880715,0.0090012992412408
"forest_cover",0.00476387339618123,0.00269740143913648
