"","mean","sd"
"RWC",0.284784854654483,0.137775040603384
"elevation_mean",0.140774404410399,0.0504673195702388
"EVP_win",0.135289942763692,0.0590216131899852
"elevation_std",0.126640634662387,0.0593646043494118
"CWD",0.124785012790331,0.0531292522102207
"ppt_sum",0.0884591776057846,0.0442765632869291
"location",0.0704257477391457,0.0310977637037058
"aspect_mean",0.0699227618060654,0.0333006032545717
"vsm_sum",0.057184123062795,0.0228380488614521
"aspect_std",0.0487684276344617,0.0176019995553958
"canopy_height",0.0423676143609552,0.0179351158343584
